num_drones,horizon,coordinator,controller_type,status,steps,wall_time_s,min_step_time_s,max_step_time_s,mean_step_time_s,min_distance,max_distance,mean_distance_all_pairs,mean_distance_step_mean,jerk_3d_value
2,4,dmpc_admm,mpc_agent,finished,171,75.38097527300124,0.02259069301362615,0.2290104620042257,0.0668404071173278,3.039999999938148,5.899754002923934,4.0402341896472835,4.0402341896472835,672.2602677213733
2,4,mpc_central,mpc_agent,finished,234,105.071788464993,0.01925460899656173,0.1634348920051707,0.07687308814085057,3.0399999993238644,6.066699465711502,3.859774703605264,3.859774703605264,454.43896731096265
2,4,mpc_central,mpc_agent,finished,234,105.6251118729997,0.02730622199305799,0.18766999700164888,0.07643886164118562,3.0399999993238644,6.066699465711502,3.859774703605264,3.859774703605264,454.43896731096265
2,4,dmpc_admm,mpc_agent,finished,239,106.67899314800161,0.024238640995463356,0.14446187599969562,0.06929718373646808,3.039999999964977,6.078962959098133,3.837664809069108,3.837664809069108,623.9334201798578
2,4,dmpc_admm,mpc_agent_adaptive,finished,199,145.88168626200058,0.033610465994570404,3.407218816006207,0.31337684218174466,2.014523807653989,5.373286705756871,2.913465530323987,2.913465530323987,154.08649569432595
2,4,mpc_central,mpc_agent,finished,225,103.3203769140091,0.022545596002601087,0.18306739800027572,0.0808425972840309,3.040000000078905,6.489351877714866,3.990544031200834,3.990544031200834,531.5611948135496
2,4,dmpc_admm,mpc_agent_adaptive,finished,238,192.9138335900061,0.03677637399232481,4.020284003010602,0.3829326156225738,2.004326956252401,5.373286867431494,2.7634693525556937,2.7634693525556937,239.91903031565994
2,4,dmpc_admm,mpc_agent,finished,202,97.41876458500337,0.02301197599445004,1.6255882589903194,0.08406362840152255,3.0399999999385314,4.768115065162246,3.4292224225902372,3.4292224225902372,669.1147556688695
2,4,mpc_central,mpc_agent,finished,217,105.70726268399449,0.027367643007892184,0.16667419599252753,0.07728088876859646,3.0399999988949165,4.166862585247494,3.260164918348528,3.260164918348528,571.3005952310916
2,4,dmpc_admm,mpc_agent_adaptive,finished,207,154.7011804000067,0.0427828099927865,5.448589188003098,0.31282144384046706,2.0022317545560764,7.775952112552459,3.8048620997244185,3.8048620997244185,221.5331134057815
2,4,dmpc_admm,mpc_agent,finished,156,73.90017540399276,0.02274475399462972,0.20233130898850504,0.06531302743594726,3.0400000000249148,5.447345016866744,4.380716341467221,4.380716341467221,569.5923469699501
2,4,mpc_central,mpc_agent_adaptive,finished,493,286.4615536839992,0.031421886989846826,0.32820352200360503,0.16157545427619158,2.000288082047226,5.3732873051820205,2.3242800574151605,2.3242800574151605,625.6740984452076
2,4,mpc_central,mpc_agent_adaptive,finished,493,287.9364944300032,0.035758924001129344,0.3272463410103228,0.16352783200650642,2.000288082047226,5.3732873051820205,2.3242800574151605,2.3242800574151605,625.6740984452076
2,4,dmpc_admm,mpc_agent,finished,189,93.57575747500232,0.026074888999573886,0.14590859500458464,0.07162896888390634,3.039999999977957,4.606590364145215,3.3565652675298168,3.3565652675298168,551.8440617915159
